cod_colaborador,email,cpf,data_nascimento,endereco,cep,nome,idade
14,melissalopes@example.net,847.210.695-02,1974-04-24,"Lagoa de Rodrigues, 62 Zilah Sposito 37328-273 Castro Paulista / PE",27275674,Paulo Dias,50
19,pcunha@example.net,820.415.963-33,1994-07-10,"Ladeira de Moreira, 82 Jardim Atlântico 27617-762 Sales Verde / PB",50013962,Luiz Fernando Dias,30
32,aragaonicolas@example.net,936.172.548-37,1986-12-18,Área Sophie Moreira Maria Virgínia 71941-111 Souza do Campo / RJ,08955-215,Vitor Hugo Dias,37
88,luiz-otaviorezende@example.org,967.082.451-67,1994-10-19,"Trevo Murilo Ramos, 92 São Benedito 73615-597 Moura da Mata / RR",24224-305,João Gabriel Lima,29
39,joao-pedro72@example.com,857.496.210-49,1996-03-01,"Parque de Moura, 65 Granja Werneck 67769059 da Rosa de da Cunha / RR",96896390,Maria Eduarda Melo,28
41,sabrina59@example.com,190.768.435-20,1966-01-30,"Favela Rocha, 94 Laranjeiras 92500120 Viana / GO",90019993,Olivia Costa,58
45,lviana@example.org,217.583.096-95,1977-02-07,"Lagoa Benício Moura, 5 Vila Paraíso 50235854 da Conceição / RJ",19415-341,Laura Cunha,47
100,noahmoraes@example.com,062.937.158-02,1975-03-24,"Colônia Lima, 83 Flamengo 36172-665 da Mota / SE",74890752,Lavínia Cunha,49
16,vjesus@example.org,718.950.436-20,1963-12-21,"Conjunto Gomes, 888 Céu Azul 76308-427 Lopes do Norte / GO",29604844,Benjamin Gomes,60
46,samuel76@example.com,768.134.950-20,1977-07-16,Fazenda Emilly Costa Campo Alegre 55916-800 da Cunha de Rocha / SE,88161-168,Alana Gomes,46
76,davi-luccacardoso@example.org,461.837.095-57,1985-09-13,"Viaduto Rezende, 33 Beira Linha 94699659 Fogaça do Oeste / RN",73793-541,Ana Júlia Gomes,38
64,thales22@example.com,265.931.407-16,1975-06-15,Travessa Araújo Flamengo 90045246 Dias / AM,85994735,Ana Júlia Jesus,49
86,zmelo@example.com,260.431.897-04,1983-10-28,"Vale de Ribeiro, 6 Vera Cruz 77263-255 Lopes Verde / MS",53119-377,Eduarda Jesus,40
91,freitascaroline@example.com,053.126.487-44,1985-03-03,"Pátio Aragão, 171 Califórnia 42079209 da Rosa Grande / ES",95399-857,Emilly Jesus,39
